Name,City,Latitude,Longitude,Group,Value
"MN","Minnesota",45.0342068342144,-93.4098704663681,"Medium",62933
"MN","Minnesota",45.0342068342144,-93.4098704663681,"Serious",16229
"MN","Minnesota",45.0342068342144,-93.4098704663681,"Fatal",513
"MO","Missouri",38.6934494762432,-92.299036437761,"Slight",67
"MO","Missouri",38.6934494762432,-92.299036437761,"Medium",14967
"MO","Missouri",38.6934494762432,-92.299036437761,"Serious",11946
"MO","Missouri",38.6934494762432,-92.299036437761,"Fatal",1694
"MS","Mississippi",32.0844184179754,-89.7114316891201,"Slight",5
"MS","Mississippi",32.0844184179754,-89.7114316891201,"Medium",3529
"MS","Mississippi",32.0844184179754,-89.7114316891201,"Serious",1562
"MS","Mississippi",32.0844184179754,-89.7114316891201,"Fatal",323
"MT","Montana",46.6747954873737,-111.781917304924,"Medium",3095
"MT","Montana",46.6747954873737,-111.781917304924,"Serious",123
"MT","Montana",46.6747954873737,-111.781917304924,"Fatal",115
"NC","North Carolina",35.5009600364599,-79.9421426816037,"Slight",1804
"NC","North Carolina",35.5009600364599,-79.9421426816037,"Medium",103685
"NC","North Carolina",35.5009600364599,-79.9421426816037,"Serious",13711
"NC","North Carolina",35.5009600364599,-79.9421426816037,"Fatal",3597
"ND","North Dakota",47.1461730521327,-99.2183392725119,"Medium",445
"ND","North Dakota",47.1461730521327,-99.2183392725119,"Serious",7
"ND","North Dakota",47.1461730521327,-99.2183392725119,"Fatal",11
"NE","Nebraska",41.2240949636966,-96.1488469418262,"Slight",32
"NE","Nebraska",41.2240949636966,-96.1488469418262,"Medium",11277
"NE","Nebraska",41.2240949636966,-96.1488469418262,"Serious",2038
"NE","Nebraska",41.2240949636966,-96.1488469418262,"Fatal",331
"NH","New Hampshire",43.1097623671443,-71.4390546672094,"Slight",2
"NH","New Hampshire",43.1097623671443,-71.4390546672094,"Medium",5174
"NH","New Hampshire",43.1097623671443,-71.4390546672094,"Serious",888
"NH","New Hampshire",43.1097623671443,-71.4390546672094,"Fatal",186
"NJ","New Jersey",40.4572820133048,-74.4364184628817,"Slight",81
"NJ","New Jersey",40.4572820133048,-74.4364184628817,"Medium",35273
"NJ","New Jersey",40.4572820133048,-74.4364184628817,"Serious",10907
"NJ","New Jersey",40.4572820133048,-74.4364184628817,"Fatal",3953
"NM","New Mexico",34.9192028803743,-106.558478326758,"Slight",48
"NM","New Mexico",34.9192028803743,-106.558478326758,"Medium",2349
"NM","New Mexico",34.9192028803743,-106.558478326758,"Serious",1187
"NM","New Mexico",34.9192028803743,-106.558478326758,"Fatal",389
"NV","Nevada",38.5248784254517,-117.96698010815,"Slight",2
"NV","Nevada",38.5248784254517,-117.96698010815,"Medium",5488
"NV","Nevada",38.5248784254517,-117.96698010815,"Serious",1860
"NV","Nevada",38.5248784254517,-117.96698010815,"Fatal",462
"NY","New York",41.6230647571055,-74.6417522642473,"Slight",716
"NY","New York",41.6230647571055,-74.6417522642473,"Medium",83157
"NY","New York",41.6230647571055,-74.6417522642473,"Serious",34864
"NY","New York",41.6230647571055,-74.6417522642473,"Fatal",7439
"OH","Ohio",40.1852988246557,-83.244893113979,"Slight",521
